ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,clicked_stimuli,participant,session,date,expName,psychopyVersion,frameRate
image01,image18,image36,image02,image10,image14,image19,image31,image06,"['stim3', 'stim6', 'stim5', 'stim4', 'stim2', 'stim1', 'stim7', 'stim8']","['image02', 'image19', 'image14', 'image10', 'image36', 'image18', 'image31', 'image06']",SAW,1,2021_Sep_27_1729,image_exp,3.2.4,60.26140009
image01,image21,image29,image20,image35,image37,image36,image24,image06,"['stim5', 'stim7', 'stim6', 'stim3', 'stim4', 'stim2', 'stim1', 'stim8']","['image37', 'image24', 'image36', 'image20', 'image35', 'image29', 'image21', 'image06']",SAW,1,2021_Sep_27_1729,image_exp,3.2.4,60.26140009
image01,image21,image34,image26,image03,image35,image08,image07,image15,"['stim4', 'stim3', 'stim5', 'stim6', 'stim1', 'stim7', 'stim8', 'stim2']","['image03', 'image26', 'image35', 'image08', 'image21', 'image07', 'image15', 'image34']",SAW,1,2021_Sep_27_1729,image_exp,3.2.4,60.26140009
image01,image08,image04,image17,image25,image03,image11,image12,image05,"['stim2', 'stim8', 'stim1', 'stim7', 'stim6', 'stim5', 'stim4', 'stim3']","['image04', 'image05', 'image08', 'image12', 'image11', 'image03', 'image25', 'image17']",SAW,1,2021_Sep_27_1729,image_exp,3.2.4,60.26140009
image01,image25,image27,image28,image11,image22,image13,image32,image16,"['stim5', 'stim4', 'stim6', 'stim3', 'stim7', 'stim8', 'stim1', 'stim2']","['image22', 'image11', 'image13', 'image28', 'image32', 'image16', 'image25', 'image27']",SAW,1,2021_Sep_27_1729,image_exp,3.2.4,60.26140009
image01,image33,image23,image02,image16,image18,image30,image09,image22,"['stim5', 'stim4', 'stim3', 'stim2', 'stim1', 'stim8', 'stim7', 'stim6']","['image18', 'image16', 'image02', 'image23', 'image33', 'image22', 'image09', 'image30']",SAW,1,2021_Sep_27_1729,image_exp,3.2.4,60.26140009
image02,image10,image27,image06,image30,image14,image23,image35,image07,"['stim5', 'stim6', 'stim7', 'stim8', 'stim1', 'stim2', 'stim3', 'stim4']","['image14', 'image23', 'image35', 'image07', 'image10', 'image27', 'image06', 'image30']",SAW,1,2021_Sep_27_1729,image_exp,3.2.4,60.26140009
image02,image22,image20,image35,image05,image31,image23,image26,image15,"['stim4', 'stim5', 'stim3', 'stim6', 'stim7', 'stim8', 'stim2', 'stim1']","['image05', 'image31', 'image35', 'image23', 'image26', 'image15', 'image20', 'image22']",SAW,1,2021_Sep_27_1729,image_exp,3.2.4,60.26140009
image02,image17,image09,image16,image12,image31,image28,image33,image26,"['stim5', 'stim4', 'stim8', 'stim7', 'stim6', 'stim1', 'stim2', 'stim3']","['image31', 'image12', 'image26', 'image33', 'image28', 'image17', 'image09', 'image16']",SAW,1,2021_Sep_27_1729,image_exp,3.2.4,60.26140009
image02,image25,image19,image34,image09,image12,image18,image13,image24,"['stim6', 'stim7', 'stim5', 'stim8', 'stim1', 'stim2', 'stim3', 'stim4']","['image18', 'image13', 'image12', 'image24', 'image25', 'image19', 'image34', 'image09']",SAW,1,2021_Sep_27_1729,image_exp,3.2.4,60.26140009
image02,image08,image04,image03,image25,image36,image21,image18,image11,"['stim5', 'stim4', 'stim3', 'stim2', 'stim6', 'stim7', 'stim8', 'stim1']","['image36', 'image25', 'image03', 'image04', 'image21', 'image18', 'image11', 'image08']",SAW,1,2021_Sep_27_1729,image_exp,3.2.4,60.26140009
image02,image21,image32,image30,image01,image06,image36,image29,image37,"['stim5', 'stim4', 'stim6', 'stim3', 'stim7', 'stim2', 'stim8', 'stim1']","['image06', 'image01', 'image36', 'image30', 'image29', 'image32', 'image37', 'image21']",SAW,1,2021_Sep_27_1729,image_exp,3.2.4,60.26140009
image03,image36,image32,image10,image14,image30,image11,image23,image04,"['stim5', 'stim6', 'stim7', 'stim8', 'stim1', 'stim3', 'stim4', 'stim2']","['image30', 'image11', 'image23', 'image04', 'image36', 'image10', 'image14', 'image32']",SAW,1,2021_Sep_27_1729,image_exp,3.2.4,60.26140009
image03,image10,image13,image12,image20,image08,image04,image07,image34,"['stim4', 'stim5', 'stim6', 'stim7', 'stim8', 'stim1', 'stim2', 'stim3']","['image20', 'image08', 'image04', 'image07', 'image34', 'image10', 'image13', 'image12']",SAW,1,2021_Sep_27_1729,image_exp,3.2.4,60.26140009
image03,image27,image24,image28,image08,image31,image26,image07,image29,"['stim6', 'stim7', 'stim8', 'stim1', 'stim5', 'stim4', 'stim3', 'stim2']","['image26', 'image07', 'image29', 'image27', 'image31', 'image08', 'image28', 'image24']",SAW,1,2021_Sep_27_1729,image_exp,3.2.4,60.26140009
image03,image29,image17,image26,image21,image35,image18,image09,image01,"['stim5', 'stim4', 'stim6', 'stim3', 'stim7', 'stim8', 'stim1', 'stim2']","['image35', 'image21', 'image18', 'image26', 'image09', 'image01', 'image29', 'image17']",SAW,1,2021_Sep_27_1729,image_exp,3.2.4,60.26140009
image03,image33,image35,image15,image02,image09,image16,image37,image25,"['stim4', 'stim5', 'stim6', 'stim7', 'stim8', 'stim1', 'stim2', 'stim3']","['image02', 'image09', 'image16', 'image37', 'image25', 'image33', 'image35', 'image15']",SAW,1,2021_Sep_27_1729,image_exp,3.2.4,60.26140009
image03,image05,image16,image02,image30,image06,image19,image11,image22,"['stim5', 'stim6', 'stim7', 'stim8', 'stim4', 'stim3', 'stim1', 'stim2']","['image06', 'image19', 'image11', 'image22', 'image30', 'image02', 'image05', 'image16']",SAW,1,2021_Sep_27_1729,image_exp,3.2.4,60.26140009
image04,image07,image29,image37,image12,image09,image19,image15,image27,"['stim6', 'stim4', 'stim5', 'stim7', 'stim8', 'stim1', 'stim2', 'stim3']","['image19', 'image12', 'image09', 'image15', 'image27', 'image07', 'image29', 'image37']",SAW,1,2021_Sep_27_1729,image_exp,3.2.4,60.26140009